사업소명,시도명,시군구명,소재지도로명주소,소재지지번주소,전화번호,면허구분명,업종명,운영여부,차량대수,데이터기준일자,제공기관코드,제공기관명
㈜전국로지스,경상북도,칠곡군,경상북도 칠곡군 왜관읍 강변대로 677-11,,,,일반화물자동차운송사업,Y,16,2025-08-31,5220000,경상북도 칠곡군
㈜가원물류,경상북도,칠곡군,경상북도 칠곡군 왜관읍 칠곡대로 1913,,,,일반화물자동차운송사업,Y,4,2025-08-31,5220000,경상북도 칠곡군
이앤피파트너스㈜,경상북도,칠곡군,"경상북도 칠곡군 왜관읍 공단로206, 시동 202",,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜새아로지스,경상북도,칠곡군,경상북도 칠곡군 석적읍 3공단2로 13,,,,일반화물자동차운송사업,Y,34,2025-08-31,5220000,경상북도 칠곡군
㈜왜관특수화물,경상북도,칠곡군,"경상북도 칠곡군 왜관읍 평장길 20, 102동 2101호",,,,일반화물자동차운송사업,Y,3,2025-08-31,5220000,경상북도 칠곡군
(주)홍이특수화물,경상북도,칠곡군,경상북도 칠곡군 지천면 금송로 329-12,,,,일반화물자동차운송사업,Y,51,2025-08-31,5220000,경상북도 칠곡군
㈜두루에프엘,경상북도,칠곡군,경상북도 칠곡군 왜관읍 아곡8길 31,,,,일반화물자동차운송사업,Y,3,2025-08-31,5220000,경상북도 칠곡군
㈜토로스,경상북도,칠곡군,경상북도 칠곡군 지천면 금송로 339,,,,일반화물자동차운송사업,Y,11,2025-08-31,5220000,경상북도 칠곡군
태성운수(주),경상북도,칠곡군,경상북도 칠곡군 가산면 인동가산로 975,,,,일반화물자동차운송사업,Y,29,2025-08-31,5220000,경상북도 칠곡군
㈜진보케미칼,경상북도,칠곡군,경상북도 칠곡군 석적읍 동중리1길 79,,,,일반화물자동차운송사업,Y,30,2025-08-31,5220000,경상북도 칠곡군
(주)천평종합운수,경상북도,칠곡군,경상북도 칠곡군 가산면 경북대로 1804,,,,일반화물자동차운송사업,Y,53,2025-08-31,5220000,경상북도 칠곡군
(주)한국농업물류나라,경상북도,칠곡군,경상북도 칠곡군 가산면 경북대로 1804,,,,일반화물자동차운송사업,Y,19,2025-08-31,5220000,경상북도 칠곡군
㈜대명종합물류,경상북도,칠곡군,경상북도 칠곡군 가산면 인동가산로 975,,,,일반화물자동차운송사업,Y,22,2025-08-31,5220000,경상북도 칠곡군
㈜상도에프엔엘,경상북도,칠곡군,경상북도 칠곡군 지천면 금송로 339,,,,일반화물자동차운송사업,Y,22,2025-08-31,5220000,경상북도 칠곡군
동성화물자동차㈜,경상북도,칠곡군,경상북도 칠곡군 가산면 인동가산로 975,,,,일반화물자동차운송사업,Y,58,2025-08-31,5220000,경상북도 칠곡군
㈜구미기업,경상북도,칠곡군,경상북도 칠곡군 가산면 인동가산로 975,,,,일반화물자동차운송사업,Y,47,2025-08-31,5220000,경상북도 칠곡군
왜관통운익스프레스,경상북도,칠곡군,경상북도 칠곡군 기산면 주산로 1291,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜지성,경상북도,칠곡군,경상북도 칠곡군 지천면 금호로 148-32,,,,일반화물자동차운송사업,Y,16,2025-08-31,5220000,경상북도 칠곡군
㈜태광물류,경상북도,칠곡군,"경상북도 칠곡군 북삼읍 인평2길 7, 5층 501호",,,,일반화물자동차운송사업,Y,8,2025-08-31,5220000,경상북도 칠곡군
(주)창선물류,경상북도,칠곡군,경상북도 칠곡군 왜관읍 아곡8길31,,,,일반화물자동차운송사업,Y,5,2025-08-31,5220000,경상북도 칠곡군
㈜진영,경상북도,칠곡군,,경상북도 칠곡군 약목면 무림리 813-3,,,일반화물자동차운송사업,Y,5,2025-08-31,5220000,경상북도 칠곡군
(주)혁신물류,경상북도,칠곡군,"경상북도 칠곡군 북삼읍 칠곡대로 100, 2층",,,,일반화물자동차운송사업,Y,5,2025-08-31,5220000,경상북도 칠곡군
㈜한라운수,경상북도,칠곡군,경상북도 칠곡군 석적읍 유학로 136,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜동서추레라,경상북도,칠곡군,경상북도 칠곡군 지천면 신동로 95-25,,,,일반화물자동차운송사업,Y,17,2025-08-31,5220000,경상북도 칠곡군
(주)조향특수,경상북도,칠곡군,"경상북도 칠곡군 왜관읍 평장7길 11, 상가동 205",,,,일반화물자동차운송사업,Y,9,2025-08-31,5220000,경상북도 칠곡군
청보물류㈜,경상북도,칠곡군,경상북도 칠곡군 기산면 칠곡대로 1309,,,,일반화물자동차운송사업,Y,12,2025-08-31,5220000,경상북도 칠곡군
(주)육일물류,경상북도,칠곡군,경상북도 칠곡군 북삼읍 인평중앙로 109,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜신선물류,경상북도,칠곡군,경상북도 칠곡군 지천면 금호로1길 2-13,,,,일반화물자동차운송사업,Y,13,2025-08-31,5220000,경상북도 칠곡군
㈜더로지스,경상북도,경산시,"경상북도 경산시 진량읍 공단2로7길 15, 101호","경상북도 경산시 진량읍 신상리 372-3, 101호",,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
에스디종합물류㈜,경상북도,경산시,경상북도 경산시 진량읍 금박로 697,경상북도 경산시 진량읍 아사리 454-12,053-853-3363,운송사업,일반화물자동차운송사업,Y,11,2026-07-14,5130000,경상북도 경산시
㈜영재상사,경상북도,경산시,경상북도 경산시 하양읍 대부길 117,경상북도 경산시 하양읍 대조리 93-3,,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜동아물류,경상북도,경산시,"경상북도 경산시 경산로 280, 502동32호","경상북도 경산시 중산동 693, 502동32호",,운송사업,일반화물자동차운송사업,Y,6,2026-07-14,5130000,경상북도 경산시
㈜삼일특수,경상북도,경산시,"경상북도 경산시 강변동로 288, 1003호","경상북도 경산시 대평동 437-2, 1003호",053-985-4456,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜현무로지스,경상북도,경산시,"경상북도 경산시 백자로 111, 예담 2층 293호","경상북도 경산시 사동 594-7, 예담 2층 293호",,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜동호로지스,경상북도,경산시,경상북도 경산시 진량읍 금박로 215,경상북도 경산시 진량읍 마곡리 466-6,053-853-0960,운송사업,일반화물자동차운송사업,Y,39,2026-07-14,5130000,경상북도 경산시
경산대형렉카,경상북도,경산시,"경상북도 경산시 장산로 115, 102호",,,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜맨파워코리아,경상북도,경산시,경상북도 경산시 진량읍 동자1길 28,경상북도 경산시 진량읍 선화리 888-6,053-851-7064,운송사업,일반화물자동차운송사업,Y,54,2026-07-14,5130000,경상북도 경산시
용성특수렉카,경상북도,경산시,경상북도 경산시 서상길 41(서상동),경상북도 경산시 서상동 112-3,,운송사업,일반화물자동차운송사업,Y,3,2026-07-14,5130000,경상북도 경산시
㈜경원산업,경상북도,경산시,경상북도 경산시 진량읍 공단12로 52,경상북도 경산시 진량읍 광석리 727,,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜제이종합운수,경상북도,경산시,경상북도 경산시 와촌면 팔공로 132길 49,경상북도 경산시 와촌면 소월리 1349-2,053-943-2000,운송사업,일반화물자동차운송사업,Y,3,2026-07-14,5130000,경상북도 경산시
㈜화성물류,경상북도,경산시,경상북도 경산시 진량읍 봉회길 22,경상북도 경산시 진량읍 신상리 900,053-854-8541,운송사업,일반화물자동차운송사업,Y,30,2026-07-14,5130000,경상북도 경산시
㈜도탁운수,경상북도,경산시,경상북도 경산시 진량읍 일연로 745-5,경상북도 경산시 진량읍 선화리 464-1,053-794-2719,운송사업,일반화물자동차운송사업,Y,11,2026-07-14,5130000,경상북도 경산시
㈜두꺼비운수,경상북도,경산시,경상북도 경산시 진량읍 대학로 1052 2층,경상북도 경산시 진량읍 신상리 1104-1,053-255-9115,운송사업,일반화물자동차운송사업,Y,3,2026-07-14,5130000,경상북도 경산시
팔공물류㈜,경상북도,경산시,경상북도 경산시 와촌면 대경로 960,경상북도 경산시 와촌면 용천리 806-13,053-852-0561,운송사업,일반화물자동차운송사업,Y,11,2026-07-14,5130000,경상북도 경산시
㈜글로벌로지스,경상북도,경산시,"경상북도 경산시 압량읍 압독2로1길 20-11, 503호",경상북도 경산시 압량읍 신대리 405-1,053-961-0502,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜제이티로지스,경상북도,경산시,경상북도 경산시 진량읍 금박로 697,경상북도 경산시 진량읍 아사리 454-12,053-853-3363,운송사업,일반화물자동차운송사업,Y,6,2026-07-14,5130000,경상북도 경산시
㈜부광물류,경상북도,경산시,경상북도 경산시 진량읍 금박로 697,경상북도 경산시 진량읍 아사리 454-12,053-853-3363,운송사업,일반화물자동차운송사업,Y,48,2026-07-14,5130000,경상북도 경산시
㈜천일로직스 경북영업소,경상북도,경산시,경상북도 경산시 진량읍 동자1길 25,경상북도 경산시 진량읍 선화리 796-2,042-632-1070,운송사업,일반화물자동차운송사업,Y,1,2026-07-14,5130000,경상북도 경산시
(주)천마로지스,경상북도,경산시,경상북도 경산시 진량읍 문천길 233,경상북도 경산시 진량읍 문천리 558,,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
경동물류㈜ 경산영업소,경상북도,경산시,경상북도 경산시 가야로 327,경상북도 경산시 진량읍 가야리 359-6,053-856-4747,운송사업,일반화물자동차운송사업,Y,1,2026-07-14,5130000,경상북도 경산시
㈜대통물류,경상북도,경산시,"경상북도 경산시 진량읍 공단5로30길 47, 1층",경상북도 경산시 진량읍 신제리 586,053-856-0590,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
(주)민경로지스,경상북도,경산시,"경상북도 경산시 진량읍 공단로 527, 105동 1203호 (우방힐타운)",경상북도 경산시 진량읍 신상리 868,,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
(주)오성물류,경상북도,경산시,"경상북도 경산시 진량읍 봉회길 22, 2층",경상북도 경산시 진량읍 신상리 900,053-584-8524,운송사업,일반화물자동차운송사업,Y,4,2026-07-14,5130000,경상북도 경산시
(주)대흥중기운수서비스,경상북도,경산시,"경상북도 경산시 진량읍 일연로 689, 1층",경상북도 경산시 진량읍 선화리 256-3,053-314-3885,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜에이원,경상북도,경산시,경상북도 경산시 진량읍 금박로 695,경상북도 경산시 진량읍 평사리 1201,053-851-6601,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜다온특수,경상북도,경산시,경상북도 경산시 진량읍 북리1길 88,경상북도 경산시 진량읍 북리 172,053-964-5151,운송사업,일반화물자동차운송사업,Y,8,2026-07-14,5130000,경상북도 경산시
보승물류㈜,경상북도,경산시,"경상북도 경산시 진량읍 공단5로30길 47, 101호(동그라미)",경상북도 경산시 진량읍 신제리 586,053-423-5141,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜무경운수,경상북도,경산시,"경상북도 경산시 중앙로19길 26,2층(중방동)",경상북도 경산시 중방동 849-6,053-814-6567,운송사업,일반화물자동차운송사업,Y,3,2026-07-14,5130000,경상북도 경산시
건영환경㈜,경상북도,경산시,경상북도 경산시 압량읍 가일길 89-26,경상북도 경산시 압량읍 가일리 187,053-856-1021,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
㈜해오름,경상북도,경산시,경상북도 경산시 압량면 의송길 129,경상북도 경산시 압량읍 의송리 343-1,053-817-7749,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
동진렉카,경상북도,경산시,"경상북도 경산시 진량읍 선화로 35, 102호",경상북도 경산시 진량읍 선화리 790-3,,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
(주)수성,경상북도,경산시,경상북도 경산시 진량읍 금박로 651,경상북도 경산시 진량읍 다문리 211-1,,운송사업,일반화물자동차운송사업,Y,5,2026-07-14,5130000,경상북도 경산시
㈜남부써비스,경상북도,경산시,경상북도 경산시 압량읍 신월길 37,경상북도 경산시 압량읍 신월리 73,053-817-3396,운송사업,일반화물자동차운송사업,Y,2,2026-07-14,5130000,경상북도 경산시
애니카랜드,경상북도,경산시,경상북도 경산시 강변서로 233 (정평동),경상북도 경산시 정평동 250-46,053-812-1832,운송사업,일반화물자동차운송사업,Y,3,2026-07-14,5130000,경상북도 경산시
㈜동호물류,경상북도,경산시,경상북도 경산시 진량읍 대학로 945,경상북도 경산시 진량읍 선화리 714,053-857-5454,운송사업,일반화물자동차운송사업,Y,5,2026-07-14,5130000,경상북도 경산시
㈜엠에이치기업,경상북도,경산시,"경상북도 경산시 압량읍 압독4로1길 20-5, 101호",경상북도 경산시 압량읍 신대리 652,,운송사업,일반화물자동차운송사업,Y,5,2026-07-14,5130000,경상북도 경산시
호경산업,경상북도,경산시,경상북도 경산시 진량읍 두인길 9,경상북도 경산시 진량읍 선화리 201,053-851-0731,운송사업,일반화물자동차운송사업,Y,4,2026-07-14,5130000,경상북도 경산시
진량렉카,경상북도,경산시,경상북도 경산시 와촌면 와천서길 171,,,운송사업,일반화물자동차운송사업,Y,4,2026-07-14,5130000,경상북도 경산시
㈜대평운수,경상북도,경산시,"경상북도 경산시 대평길1길 13-4, 상가103호(대평동)",경상북도 경산시 대평동 425-6,053-964-7010,운송사업,일반화물자동차운송사업,Y,6,2026-07-14,5130000,경상북도 경산시
㈜대림에코,경상북도,경산시,"경상북도 경산시 진량읍 영청길 4, 영호맨션 상가 103동 201호",경상북도 경산시 진량읍 선화리 720-2,053-853-9901,운송사업,일반화물자동차운송사업,Y,4,2026-07-14,5130000,경상북도 경산시
㈜비케이로지스,경상북도,경산시,경상북도 경산시 진량읍 봉회길 22,경상북도 경산시 진량읍 신상리 900,053-854-8200,운송사업,일반화물자동차운송사업,Y,3,2026-07-14,5130000,경상북도 경산시
㈜우리물류,경상북도,경산시,"경상북도 경산시 진량읍 공단8로 238, 2층",경상북도 경산시 진량읍 신상리 1187,053-853-6100,운송사업,일반화물자동차운송사업,Y,7,2026-07-14,5130000,경상북도 경산시
스마트물류,경상북도,경산시,경상북도 경산시 남산면 송내공단길 77-10,경상북도 경산시 남산면 송내리 33-17,,운송사업,일반화물자동차운송사업,Y,7,2026-07-14,5130000,경상북도 경산시
(주)일성로지스 경산영업소,경상북도,경산시,"경상북도 경산시 진량읍 공단로 475, 진광새마을금고 4층",경상북도 경산시 진량읍 신상리 183-6,053-587-5605,운송사업,일반화물자동차운송사업,Y,29,2026-07-14,5130000,경상북도 경산시
㈜모아,경상북도,경산시,경상북도 경산시 진량읍 공단10로 346,경상북도 경산시 진량읍 문천리 519-10,053-856-6888,운송사업,일반화물자동차운송사업,Y,9,2026-07-14,5130000,경상북도 경산시
㈜마루로지스틱,경상북도,경산시,"경상북도 경산시 경산로40길 11, 2층 205호",경상북도 경산시 옥산동 742-7,,운송사업,일반화물자동차운송사업,Y,11,2026-07-14,5130000,경상북도 경산시
㈜삼화특운,경상북도,경산시,경상북도 경산시 와촌면 팔공로132길 57-12,경상북도 경산시 와촌면 소월리 1311-4,053-985-4456,운송사업,일반화물자동차운송사업,Y,20,2026-07-14,5130000,경상북도 경산시
㈜경구상운,경상북도,경산시,경상북도 경산시 진량읍 금박로 215,경상북도 경산시 진량읍 마곡리 466-6,053-852-2436,운송사업,일반화물자동차운송사업,Y,27,2026-07-14,5130000,경상북도 경산시
㈜대경화물,경상북도,경산시,경상북도 경산시 진량읍 금박로 697,경상북도 경산시 진량읍 아사리 454-12,053-593-8891,운송사업,일반화물자동차운송사업,Y,26,2026-07-14,5130000,경상북도 경산시
㈜화인운수,경상북도,경산시,"경상북도 경산시 대평길1길 13-4, 상가103호 (대평동)",경상북도 경산시 대평동 425-6,053-636-9959,운송사업,일반화물자동차운송사업,Y,14,2026-07-14,5130000,경상북도 경산시
에스엠물류,경상북도,경산시,경상북도 경산시 와촌면 금송로 515,경상북도 경산시 와촌면 동강리 160-1,053-219-4466,운송사업,일반화물자동차운송사업,Y,15,2026-07-14,5130000,경상북도 경산시
㈜경산특수렉카,경상북도,경산시,경상북도 경산시 화랑로 144(갑제동),경상북도 경산시 갑제동 411-1,053-816-2800,운송사업,일반화물자동차운송사업,Y,22,2026-07-14,5130000,경상북도 경산시
㈜이원물류 경산영업소,경상북도,경산시,경상북도 경산시 하양읍 교리길 27,경상북도 경산시 하양읍 한사리 608-1,053-851-7525,운송사업,일반화물자동차운송사업,Y,19,2026-07-14,5130000,경상북도 경산시
대연물류㈜,경상북도,경산시,경상북도 경산시 중앙로19길 26(중방동),경상북도 경산시 중방동 849-6,053-962-3063,운송사업,일반화물자동차운송사업,Y,10,2026-07-14,5130000,경상북도 경산시
(주)통합로지스,경상북도,경산시,경상북도 경산시 와촌면 팔공로 132길 49,경상북도 경산시 와촌면 소월리 1349-2,053-943-2000,운송사업,일반화물자동차운송사업,Y,55,2026-07-14,5130000,경상북도 경산시
㈜영일로지텍,경상북도,경산시,"경상북도 경산시 진량읍 공단5로 30길 3, 103호(현광빌)",경상북도 경산시 진량읍 신제리 578,053-341-0199,운송사업,일반화물자동차운송사업,Y,19,2026-07-14,5130000,경상북도 경산시
㈜그린통상,경상북도,경산시,경상북도 경산시 자인면 설총로 906-1,경상북도 경산시 자인면 동부리 151-9,053-951-5015,운송사업,일반화물자동차운송사업,Y,22,2026-07-14,5130000,경상북도 경산시
㈜다원로지스,경상북도,경산시,경상북도 경산시 압량면 가야로 20,경상북도 경산시 압량읍 용암리 212,053-802-7258,운송사업,일반화물자동차운송사업,Y,30,2026-07-14,5130000,경상북도 경산시
㈜대평통운,경상북도,경산시,"경상북도 경산시 대평길1길 13-4, 103호",경상북도 경산시 대평동 425-6,053-818-0090,운송사업,일반화물자동차운송사업,Y,21,2026-07-14,5130000,경상북도 경산시
㈜정안특운,경상북도,경산시,경상북도 경산시 진량읍 내리평사로 142,경상북도 경산시 진량읍 평사리 615-1,053-853-1545,운송사업,일반화물자동차운송사업,Y,35,2026-07-14,5130000,경상북도 경산시
㈜대기통운,경상북도,경산시,"경상북도 경산시 압량읍 대학로 374, 3층",경상북도 경산시 압량읍 부적리 535-7,053-818-7744,운송사업,일반화물자동차운송사업,Y,30,2026-07-14,5130000,경상북도 경산시
광일운수㈜,경상북도,경산시,경상북도 경산시 진량읍 일연로115길 9,경상북도 경산시 진량읍 선화리 123,055-322-1205,운송사업,일반화물자동차운송사업,Y,32,2026-07-14,5130000,경상북도 경산시
(주)영진화물,경상북도,경산시,경상북도 경산시 와촌면 팔공로 388,경상북도 경산시 와촌면 신한리 420-3,053-964-3904,운송사업,일반화물자동차운송사업,Y,44,2026-07-14,5130000,경상북도 경산시
㈜대영로직스,경상북도,경산시,경상북도 경산시 진량읍 금박로 697,경상북도 경산시 진량읍 아사리 454-12,053-818-0090,운송사업,일반화물자동차운송사업,Y,37,2026-07-14,5130000,경상북도 경산시
씨에이치로지스틱스㈜ 경산영업소,경상북도,경산시,경상북도 경산시 압량읍 대학로 374,경상북도 경산시 압량읍 부적리 535-7,031-528-2150,운송사업,일반화물자동차운송사업,Y,14,2026-07-14,5130000,경상북도 경산시
㈜제때 경산영업소,경상북도,경산시,경상북도 경산시 진량읍 일연로 554,경상북도 경산시 진량읍 당곡리 405,053-853-6900,운송사업,일반화물자동차운송사업,Y,11,2026-07-14,5130000,경상북도 경산시
㈜청우국제운송,경상북도,경산시,경상북도 경산시 진량읍 공단로 393,경상북도 경산시 진량읍 신상리 593-5,053-854-6075,운송사업,일반화물자동차운송사업,Y,21,2026-07-14,5130000,경상북도 경산시
㈜유진유조 경산영업소,경상북도,경산시,경상북도 경산시 진량읍 동자1길 52,경상북도 경산시 진량읍 선화리 334,051-466-9251,운송사업,일반화물자동차운송사업,Y,17,2026-07-14,5130000,경상북도 경산시
지에스엠비즈㈜ 경산영업소,경상북도,경산시,경상북도 경산시 진량읍 동자1길 52,경상북도 경산시 진량읍 선화리 334,051-532-9379,운송사업,일반화물자동차운송사업,Y,17,2026-07-14,5130000,경상북도 경산시
㈜창대화물 경산영업소,경상북도,경산시,경상북도 경산시 진량읍 문천길 233,경상북도 경산시 진량읍 문천리 558,053-754-0418,운송사업,일반화물자동차운송사업,Y,21,2026-07-14,5130000,경상북도 경산시
㈜세정운수 경산영업소,경상북도,경산시,경상북도 경산시 하양읍 하양로 140-1,경상북도 경산시 하양읍 금락리 526,053-986-4433,운송사업,일반화물자동차운송사업,Y,40,2026-07-14,5130000,경상북도 경산시
㈜성신산업 경산영업소,경상북도,경산시,경상북도 경산시 하양읍 대경로 34-5,경상북도 경산시 하양읍 청천리 633-1,053-965-6655,운송사업,일반화물자동차운송사업,Y,29,2026-07-14,5130000,경상북도 경산시
창대통운㈜ 경산영업소,경상북도,경산시,경상북도 경산시 진량읍 문천길 233,경상북도 경산시 진량읍 문천리 558,053-754-0418,운송사업,일반화물자동차운송사업,Y,36,2026-07-14,5130000,경상북도 경산시
